,DATE,TEAM_ABBREVIATION,OPP_TEAM_ABBREVIATION,PTS,OPP_PTS,WINS_LOSSES,OPP_WINS_LOSSES,MEAN_PTS,MEAN_PTS_QTR1,MEAN_PTS_QTR2,MEAN_PTS_QTR3,MEAN_PTS_QTR4,MEAN_FG_PCT,MEAN_FT_PCT,MEAN_FG3_PCT,MEAN_AST,MEAN_REB,MEAN_TOV,OPP_TEAM_MEAN_PTS,OPP_TEAM_MEAN_PTS_QTR1,OPP_TEAM_MEAN_PTS_QTR2,OPP_TEAM_MEAN_PTS_QTR3,OPP_TEAM_MEAN_PTS_QTR4,OPP_TEAM_MEAN_FG_PCT,OPP_TEAM_MEAN_FT_PCT,OPP_TEAM_MEAN_FG3_PCT,OPP_TEAM_MEAN_AST,OPP_TEAM_MEAN_REB,OPP_TEAM_MEAN_TOV,ODDS_ML_BETONLINE,ODDS_ML_BOGDOG,ODDS_ML_BUMBET,ODDS_ML_INTERTOPS,ODDS_ML_OPENING,OPP_ODDS_ML_BOGDOG,OPP_ODDS_ML_BUMBET,OPP_ODDS_ML_OPENING,OPP_ODDS_ML_BETONLINE,OPP_ODDS_ML_INTERTOPS
17,2019-10-25,BOS,TOR,112,106,0-1,1-0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.00,27.00,29.00,32.00,29.00,40.78,84.21,35.00,23.00,57.00,16.00,-140,-150,-150,-140,-175,+130,+130,+142,+120,+120
18,2019-10-25,BKN,NY,113,109,0-1,0-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-340,-370,-370,-340,-333,+285,+285,+257,+285,+275
19,2019-10-25,MEM,CHI,102,110,0-1,0-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,+115,+115,+115,+110,-130,-135,-135,+110,-135,-130
20,2019-10-25,NOP,DAL,116,123,0-1,1-0,122.00,30.00,31.00,25.00,31.00,42.16,85.00,42.22,30.00,53.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-129,-120,-120,-130,-141,+100,+100,+114,+109,+110
21,2019-10-25,OKC,WAS,85,97,0-1,0-1,95.00,12.00,34.00,28.00,21.00,38.55,67.74,37.04,15.00,48.00,13.00,100.00,25.00,23.00,20.00,32.00,39.78,83.33,26.83,26.00,47.00,17.00,-385,-400,-400,-390,-263,+300,+300,+209,+325,+310
22,2019-10-25,DEN,PHO,108,107,1-0,1-0,108.00,24.00,30.00,19.00,35.00,41.98,81.48,56.25,24.00,45.00,19.00,124.00,25.00,29.00,32.00,38.00,50.00,83.33,33.33,31.00,44.00,14.00,-815,-900,-900,-850,-909,+550,+550,+570,+615,+575
23,2019-10-25,SAC,POR,112,122,0-1,0-1,95.00,29.00,30.00,17.00,19.00,39.08,65.38,34.48,17.00,47.00,26.00,100.00,27.00,23.00,24.00,26.00,41.38,91.30,25.00,13.00,48.00,20.00,+102,+115,+115,-105,-115,-135,-135,-103,-122,-115
24,2019-10-25,LAL,UTA,95,86,0-1,1-0,102.00,25.00,29.00,31.00,17.00,43.53,71.43,39.39,20.00,41.00,14.00,100.00,23.00,26.00,19.00,32.00,44.44,70.00,25.00,15.00,49.00,11.00,-160,-180,-180,-160,-159,+160,+160,+129,+140,+140
25,2019-10-26,MIL,MIA,126,131,1-0,1-0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,24.00,30.00,29.00,37.00,47.06,84.62,38.89,18.00,51.00,21.00,-730,-800,-800,-800,-588,+500,+500,+380,+565,+550
26,2019-10-26,DET,PHI,111,117,1-1,1-0,119.00,27.00,27.00,29.00,36.00,52.56,78.79,45.83,26.00,45.00,18.00,107.00,20.00,29.00,28.00,30.00,43.53,72.22,24.14,24.00,62.00,15.00,+157,+170,+170,+150,+195,-200,-200,-256,-177,-170
27,2019-10-26,NY,BOS,95,118,0-2,1-1,111.00,15.00,36.00,33.00,27.00,46.81,72.22,33.33,24.00,39.00,14.00,93.00,25.00,23.00,20.00,25.00,36.67,58.82,26.92,18.00,41.00,10.00,+175,+175,+175,+175,+142,-210,-210,-185,-205,-205
28,2019-10-26,ATL,ORL,103,99,1-0,1-0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.00,28.00,27.00,16.00,23.00,43.02,57.89,30.00,24.00,46.00,13.00,+110,+115,+115,+115,+100,-135,-135,-120,-130,-135
